Comp,BID,SID,CID,rg,asph,acyl,anis,num dom,seg,avgsize,maxsize,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,n_eig
0.1,0.2,3,8,13.81817255,111.4338396,45.64249468,0.387392758,3,40,120,246,0.00024878,0.001768132,0.002097914,0.002651589,0.004753535,0.00761761,0.008733389,0.009930256,0.011625388,0.012791958,1.24E-05
0.1,0.2,3,9,10.72614763,53.92121358,24.49569747,0.265296721,1,4,396,396,0.000835208,0.002272745,0.003297971,0.00635466,0.006724572,0.007429545,0.008136002,0.009041321,0.013345453,0.014171984,4.18E-05
0.1,0.2,3,10,11.8218169,55.67867333,28.20006779,0.20121956,2,32,184,350,0.000484555,0.000996731,0.002391817,0.003288792,0.005097238,0.006165344,0.006901067,0.008908528,0.009488139,0.011194582,2.42E-05
0.1,0.2,3,11,14.07158546,105.519178,47.05567936,0.332577499,5,69,66.2,231,0.000260673,0.0008374,0.002226249,0.00303525,0.003383599,0.005225277,0.008562164,0.009022601,0.011092731,0.012501363,1.37E-05
0.1,0.2,3,12,14.57479197,134.0401824,56.09467405,0.444360823,5,50,70,196,0.000182613,0.001082253,0.003119249,0.005374369,0.006039589,0.006193206,0.00875302,0.009015271,0.009595689,0.010745866,9.13E-06
0.1,0.2,3,13,12.41254204,81.84332289,34.99983478,0.327682394,2,33,183.5,277,0.000302043,0.00176692,0.004308956,0.005403154,0.006257388,0.00808545,0.009593576,0.010515766,0.011811133,0.013634878,1.51E-05
0.1,0.2,3,14,15.22777012,161.0431314,62.1967877,0.52769248,2,65,167.5,214,0.000153925,0.00201176,0.003290307,0.004682662,0.005664269,0.007389581,0.009485991,0.010648608,0.011574635,0.012530064,8.10E-06
0.1,0.2,3,15,13.06948961,99.43422649,40.36103675,0.385228109,2,33,183.5,246,0.000275783,0.001689276,0.003939551,0.005648148,0.006129382,0.007003109,0.009620773,0.011077853,0.011518905,0.014139136,1.38E-05
0.1,0.2,3,16,14.79980358,136.8851012,54.21190261,0.425976061,3,63,112.3333333,214,0.00017679,0.00117698,0.001985968,0.003920706,0.004868335,0.007591766,0.008576062,0.010231714,0.012135273,0.014830921,8.84E-06
0.1,0.2,3,17,12.16181362,87.74237048,36.84413511,0.403335354,2,33,183.5,246,0.000285063,0.002129137,0.005196106,0.006453512,0.007048225,0.008282358,0.009921737,0.010182833,0.013796629,0.01444446,1.43E-05
0.1,0.2,3,18,12.3214988,65.35543462,32.24912047,0.232012832,1,4,396,396,0.000451954,0.000857009,0.002501825,0.002816066,0.004836751,0.005033377,0.006964875,0.008604869,0.009610807,0.011023538,2.26E-05
0.1,0.2,3,19,11.42540685,72.45388431,29.16107239,0.355884863,1,4,396,396,0.00067623,0.00232633,0.004480057,0.005823239,0.00790794,0.008992689,0.010167077,0.012033196,0.012898015,0.014194132,3.38E-05
0.1,0.2,3,20,13.69409118,84.03894086,42.86174896,0.253430392,4,73,81.75,152,0.000280752,0.000574063,0.001476746,0.002459119,0.005128123,0.006973481,0.007422793,0.009070003,0.009581253,0.012501648,1.40E-05
0.1,0.2,3,21,10.39517741,41.63491565,20.44701629,0.187006374,1,4,396,396,0.000818906,0.001616904,0.002585545,0.004773209,0.005372749,0.008176481,0.008965403,0.011767259,0.012884176,0.013986733,4.09E-05
0.1,0.2,3,22,10.91595578,38.19209595,20.90635726,0.138728614,3,15,128.3333333,344,0.000919959,0.00121518,0.002037649,0.003270895,0.005954423,0.006202852,0.008384123,0.008849654,0.010866132,0.012884452,4.60E-05
0.1,0.2,3,23,14.50463757,117.2836978,48.24498808,0.351010534,6,78,53.66666667,196,0.000181715,0.000850148,0.00145595,0.00232957,0.003873871,0.005175157,0.007998951,0.010173512,0.011368683,0.013869637,9.09E-06
0.1,0.2,4,0,15.20943374,139.9151774,55.95979165,0.402796786,6,130,45,130,0.000150532,0.000943631,0.001500568,0.001829405,0.004283067,0.006363342,0.008705441,0.009183193,0.010091744,0.01148388,7.53E-06
0.1,0.2,4,1,11.01537149,42.35837278,21.92682854,0.159725589,2,74,163,318,0.000895879,0.001363945,0.002841155,0.003066606,0.005080267,0.006730283,0.008808706,0.00960227,0.011284651,0.013875664,4.48E-05
0.1,0.2,4,2,14.04339183,107.3564211,45.93430697,0.342963415,4,115,71.25,187,0.000234771,0.000966319,0.00121034,0.003445777,0.003570253,0.006441424,0.007604886,0.008628934,0.011301278,0.012446641,1.17E-05
0.1,0.2,4,3,15.53195969,141.0239782,56.07139265,0.383398498,6,131,44.83333333,131,0.000159681,0.000984247,0.001239566,0.001671733,0.002651245,0.003584942,0.005345739,0.006014286,0.007675044,0.009827773,7.98E-06
0.1,0.2,4,4,11.82970207,52.46592427,26.54093772,0.181530647,4,90,77.5,253,0.000441838,0.000989582,0.00159612,0.00188291,0.002740593,0.005246141,0.006877371,0.008203717,0.009056434,0.01005079,2.21E-05
