# DATE: 2022-15-2022  UNITS: lj


WCA
N 1000 R 0.3 1.3

349 0.6483483483483483 672.1822306316836 12920.993109904684
350 0.6493493493493494 659.3794581914907 12659.894357934936
351 0.6503503503503503 646.835220521025 12404.418867682129
352 0.6513513513513514 634.543953577265 12154.43760506553
353 0.6523523523523523 622.5002208984489 11909.824683094674
354 0.6533533533533533 610.6987104947088 11670.457280526283
355 0.6543543543543544 599.134231819048 11436.215562743337
356 0.6553553553553553 587.8017128164289 11206.982604791543
357 0.6563563563563564 576.6961970488238 10982.644316510856
358 0.6573573573573573 565.8128408942255 10763.089369703242
359 0.6583583583583583 555.1469108175255 10548.20912727668
360 0.6593593593593594 544.6937807113886 10337.897574310402
361 0.6603603603603603 534.4489293051756 10132.051250985576
362 0.6613613613613614 524.4079376400815 9930.569187328229
363 0.6623623623623623 514.5664866087446 9733.352839713845
364 0.6633633633633633 504.9203545575135 9540.30602908194
365 0.6643643643643644 495.4654149497529 9351.334880813494
366 0.6653653653653653 486.1976340885125 9166.34776622338
367 0.6663663663663664 477.11306889696243 8985.255245622044
368 0.6673673673673673 468.2078647550787 8807.970012902708
369 0.6683683683683683 459.47825339103105 8634.406841610195
370 0.6693693693693694 450.9205508258393 8464.482532450229
371 0.6703703703703703 442.5311553698757 8298.115862198596
372 0.6713713713713714 434.3065456698093 8135.227533970466
373 0.6723723723723724 426.2432788046865 7975.740128812359
374 0.6733733733733733 418.33798842980093 7819.578058578948
375 0.6743743743743744 410.5873829671204 7666.667520059449
376 0.6753753753753753 402.9882438410194 7516.9364503183
377 0.6763763763763764 395.53742375811044 7370.314483216145
378 0.6773773773773774 388.2318450300438 7226.732907078934
379 0.6783783783783783 381.06849793809687 7086.124623482248
380 0.6793793793793794 374.0444391384865 6948.424107120649
381 0.6803803803803803 367.15679010732214 6813.567366731653
382 0.6813813813813814 360.4027356241502 6681.491907045047
383 0.6823823823823824 353.779522293102 6552.136691729587
384 0.6833833833833833 347.2844571006212 6425.4421073088615
385 0.6843843843843844 340.91490600885925 6301.349928020419
386 0.6853853853853853 334.668292583778 6179.803281591619
387 0.6863863863863864 328.54209665704997 6060.74661590697
388 0.6873873873873874 322.5338530209155 5944.125666543179
389 0.6883883883883883 316.6411501550859 5829.887425147127
390 0.6893893893893894 310.86162898490335 5717.9801086345005
391 0.6903903903903903 305.1929816699321 5608.353129186367
392 0.6913913913913914 299.6329504221791 5500.957065021641
393 0.6923923923923924 294.17932635321245 5395.743631924973
394 0.6933933933933933 288.8299483493934 5292.665655508718
395 0.6943943943943944 283.5827019745215 5191.677044189566
396 0.6953953953953953 278.4355183991869 5092.732762860378
397 0.6963963963963964 273.3863733561222 4995.788807238019
398 0.6973973973973974 268.43328612091886 4900.802178869497
399 0.6983983983983983 263.5743185174266 4807.730860778009
400 0.6993993993993994 258.80757394722406 4716.533793732048
401 0.7004004004004003 254.1311964425432 4627.17085312069
402 0.7014014014014014 249.54336974203102 4539.602826418441
403 0.7024024024024024 245.0423163888012 4453.791391224466
404 0.7034034034034033 240.62629685016728 4369.699093859968
405 0.7044044044044044 236.29360865854008 4287.28932850947
406 0.7054054054054054 232.04258557293403 4206.526316891014
407 0.7064064064064064 227.87159676056314 4127.3750884413
408 0.7074074074074074 223.77904599802346 4049.801461002042
409 0.7084084084084084 219.76337089155973 3973.772021994092
410 0.7094094094094094 215.8230421159405 3899.2541100664703
411 0.7104104104104104 211.9565626714708 3826.215797207609
412 0.7114114114114114 208.16246715868044 3754.6258713064935
413 0.7124124124124124 204.43932107025526 3684.453819151955
414 0.7134134134134134 200.78572009976554 3615.6698098582997
415 0.7144144144144144 197.2002894667808 3548.2446787061945
416 0.7154154154154154 193.6816832579555 3482.149911387757
417 0.7164164164164164 190.22858378368605 3417.35762864518
418 0.7174174174174174 186.83970094995425 3353.8405712926165
419 0.7184184184184184 183.51377164497404 3291.5720856111707
420 0.7194194194194194 180.24955914027709 3230.5261091072593
421 0.7204204204204204 177.04585250587692 3170.6771566248262
